Category:,Piston rings,,,,,,,,,,,
Name,"Size, mm",Manufacturer,"Weight, g",Pcs (compression + oil control),"Compression rings width, mm","Oil control rings width, mm",Oil control rings type,Replacer,Wiki,Website,Website lang,Image
M-72 type USSR,78,USSR,-,4 + 4,3,5,Solid,M-72 R0 ALMOT; M-72 R1 ALMOT; M-72 R2 ALMOT; M-72 R3 ALMOT; M-72 R4 ALMOT; M-72 R5 ALMOT; M-72 R6 ALMOT; M-72 R7 ALMOT; M-72 R8 ALMOT; Ural type 78mm MOTUS; Ural type 78.2mm MOTUS; Ural type 78.5mm MOTUS; Ural type 78.75mm MOTUS,-,-,-,-
M-72 R0 ALMOT,78,ALMOT,-,4 + 4,3,5,Solid,Ural type 78mm MOTUS,-,-,-,-
M-72 R1 ALMOT,78.2,ALMOT,-,4 + 4,3,5,Solid,Ural type 78.2mm MOTUS,-,-,-,-
M-72 R2 ALMOT,78.5,ALMOT,-,4 + 4,3,5,Solid,Ural type 78.5mm MOTUS,-,-,-,-
M-72 R3 ALMOT,78.75,ALMOT,-,4 + 4,3,5,Solid,Ural type 78.75mm MOTUS,-,-,-,-
M-72 R4 ALMOT,79,ALMOT,-,4 + 4,3,5,Solid,-,-,-,-,-
M-72 R5 ALMOT,79.2,ALMOT,-,4 + 4,3,5,Solid,-,-,-,-,-
M-72 R6 ALMOT,79.5,ALMOT,-,4 + 4,3,5,Solid,-,-,-,-,-
M-72 R7 ALMOT,79.75,ALMOT,-,4 + 4,3,5,Solid,-,-,-,-,-
M-72 R8 ALMOT,80,ALMOT,-,4 + 4,3,5,Solid,-,-,-,-,-
Ural type 78mm MOTUS,78,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Ural type 78.2mm MOTUS,78.2,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Ural type 78.5mm MOTUS,78.5,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Ural type 78.75mm MOTUS,78.75,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Dnepr type USSR,78,USSR,-,4 + 4,2.5,5,Solid,Dnepr type 78mm MOTUS; Dnepr type 78.2mm MOTUS; Dnepr type 78.5mm MOTUS; Dnepr type 78.75mm MOTUS,-,-,-,-
Dnepr type 78mm MOTUS,78,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Dnepr type 78.2mm MOTUS,78.2,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Dnepr type 78.5mm MOTUS,78.5,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
Dnepr type 78.75mm MOTUS,78.75,MOTUS,-,4 + 4,2.5,5,Solid,-,-,-,-,https://drive.google.com/open?id=1iP50JT19Q_k18vGV3IycSb2soekNEYvH
2C4265,78,Hastings,-,4 + 4,1.5,4,Solid,-,https://apaengineering.net/HastingsCatalog/Home/partdetail/286,-,-,https://drive.google.com/open?id=1RnNWwLmRact7GVHOmq155AatjI2s-XMC
44815NO,79,MAHLE,-,8 + 4,1.5 and 2,3.947,Coil spring loaded double bevelled,08-269800-00; 800013642000; 9-2803-00; 21011-1000100-10,https://catalog.mahle-aftermarket.com/eu/product.xhtml?eid=984007#divider,-,-,https://catalog.mahle-aftermarket.com/eu/streamData?key=local&dg=ecommerce&type=JPG&u=solseit/data/productImg/large/478842
08-269800-00,79,Goetze,-,8 + 4,1.5 and 2,3.947,Coil spring loaded double bevelled,800013642000; 9-2803-00; 21011-1000100-10,-,-,-,https://cdn.euautoteile.de/thumb?id=8289150&lng=en&ccf=94077768
800013642000,79,Kolbenschmidt,-,8 + 4,1.5 and 2,3.947,Segmented,9-2803-00; 21011-1000100-10,-,https://www.euspares.co.uk/parts/goetze-engine/8289150,-,-
9-2803-00,79,NE,-,8 + 4,1.5 and 2,3.947,Segmented,21011-1000100-10,-,-,-,https://static.baza.farpost.ru/v/1544817299378_bulletin
21011-1000100-10,79,Russia,-,8 + 4,1.5 and 2,3.947,Segmented,-,-,-,-,https://drive.google.com/open?id=1kSyiCsr58LJ_Nmri2YZbUenywb7OhBJ1